Day of Completed At Order,Order Number,Lat,Lng,Total weights per order,Region,Address Province Group,Ship Province,Geo District
15-07-2024,R520383691,13.73526,100.560851,29.5,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตคลองเตย
15-07-2024,R677589623,13.9442,100.41625,10.24,BKK,นนทบุรี,นนทบุรี,อำเภอบางบัวทอง
15-07-2024,R978121342,13.879519,100.663839,3.45,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตสายไหม
15-07-2024,R727907987,13.730478,100.605503,6.8,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตสวนหลวง
15-07-2024,R352532103,13.836367,100.66259,15.75,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตคันนายาว
15-07-2024,R243151333,13.818505,100.566279,5,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตจตุจักร
15-07-2024,R671862572,13.838059,100.385064,16.83,BKK,นนทบุรี,นนทบุรี,อำเภอบางใหญ่
15-07-2024,R330788491,13.652632,100.493949,1.2,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตทุ่งครุ
15-07-2024,R194249590,13.715511,100.480134,19.85,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตธนบุรี
15-07-2024,R604931692,13.865206,100.613644,12,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตบางเขน
15-07-2024,R926940195,13.844061,100.536761,3.15,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตบางซื่อ
15-07-2024,R508975319,13.74209,100.594524,8.9,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตห้วยขวาง
15-07-2024,R568669837,13.72702,100.409658,10.9,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตบางแค
15-07-2024,R086984982,13.786381,100.55395,10.8,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตพญาไท
15-07-2024,R784423404,13.907693,100.452762,3.595,BKK,นนทบุรี,นนทบุรี,อำเภอปากเกร็ด
15-07-2024,R741835302,13.645649,100.363019,3.2,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตบางบอน
15-07-2024,R510474074,13.862524,100.555275,3.5,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตหลักสี่
15-07-2024,R618927153,13.733276,100.506528,30.9,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตคลองสาน
15-07-2024,R411111846,13.620502,100.627596,5.3,BKK,สมุทรปราการ,สมุทรปราการ,อำเภอเมืองสมุทรปราการ
15-07-2024,R054490231,15.096268,99.961596,11.94,UPC,UPC,ชัยนาท,อำเภอ หันคา
15-07-2024,R756866565,13.802959,100.685942,3,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตคันนายาว
15-07-2024,R591426606,13.718235,100.579405,8.6,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตคลองเตย
15-07-2024,R790992364,13.805883,100.556541,12.3,BKK,กรุงเทพฯ,Krung Thep Maha Nakhon,Khet Chatuchak
15-07-2024,R981055624,13.67207,100.633029,16.5,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตบางนา
15-07-2024,R925102578,13.961856,100.626437,10.18,BKK,ปทุมธานี,ปทุมธานี,อำเภอลำลูกกา
15-07-2024,R484734390,13.915707,100.416956,4,BKK,นนทบุรี,นนทบุรี,อำเภอบางบัวทอง
15-07-2024,R148971419,13.774761,100.680258,2,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตสะพานสูง
15-07-2024,R663807524,13.703295,100.685683,16.45,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขต ประเวศ
15-07-2024,R917322185,13.828461,100.527383,9.55,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตบางซื่อ
15-07-2024,R387897233,13.896503,100.446747,4.9,BKK,นนทบุรี,นนทบุรี,อำเภอเมือง
15-07-2024,R927423888,13.868415,100.421562,47,BKK,นนทบุรี,นนทบุรี,อำเภอบางใหญ่
15-07-2024,R652585569,14.031034,100.612703,3.2,BKK,ปทุมธานี,ปทุมธานี,อำเภอคลองหลวง
15-07-2024,R494558038,13.695913,100.482141,1.76,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตธนบุรี
15-07-2024,R446924036,13.651982,100.625685,23,BKK,สมุทรปราการ,สมุทรปราการ,อำเภอเมืองสมุทรปราการ
15-07-2024,R923590159,13.678408,100.441003,8.9,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตบางบอน
15-07-2024,R629165923,13.999773,100.684111,10,BKK,ปทุมธานี,ปทุมธานี,อำเภอธัญบุรี
15-07-2024,R827652758,13.735404,100.567476,11.7,BKK,กรุงเทพฯ,กรุงเทพมหานคร,เขตวัฒนา
